Provincia;Nombre del Canton;Nombre de la Parroquia;Hombre;Mujer;Total
;; SARACAY;1.366;1.179;2.545
;; Total;13.145;12.843;25.988
;PORTOVELO                     ; CURTINCAPA;277;233;510
;; MORALES;337;330;667
;; PORTOVELO;5.176;4.820;9.996
;; SALATI;535;492;1.027
;; Total;6.325;5.875;12.200
;SANTA ROSA                    ; BELLAMARIA;1.281;1.041;2.322
;; BELLAVISTA;1.421;1.414;2.835
;; JAMBELI;1.084;634;1.718
;; LA AVANZADA;1.126;942;2.068
;; SAN ANTONIO;1.089;1.001;2.090
;; SANTA ROSA;26.455;26.408;52.863
;; TORATA;1.038;915;1.953
;; VICTORIA;1.733;1.454;3.187
;; Total;35.227;33.809;69.036
;ZARUMA                        ; ABAÑIN;842;842;1.684
;; ARCAPAMBA;534;461;995
;; GUANAZAN;1.478;1.567;3.045
;; GUIZHAGUIÑA;890;814;1.704
;; HUERTAS;1.058;938;1.996
;; MALVAS;640;545;1.185
;; MULUNCAY GRANDE;509;336;845
;; SALVIAS;394;354;748
;; SINSAO;685;651;1.336
;; ZARUMA;5.253;5.306;10.559
;; Total;12.283;11.814;24.097
;Total;;304.362;296.297;600.659
Esmeraldas;ATACAMES                      ; ATACAMES;8.525;8.330;16.855
;; LA UNION;1.304;1.236;2.540
;; SUA;1.781;1.668;3.449
;; TONCHIGUE;4.151;3.850;8.001
;; TONSUPA;5.470;5.211;10.681
;; Total;21.231;20.295;41.526
;ELOY ALFARO                   ; ANCHAYACU;1.432;1.105;2.537
;; ATAHUALPA;733;721;1.454
;; BORBON;3.931;3.765;7.696
;; COLON ELOY DEL MARIA;736;674;1.410
;; LA TOLA;2.268;2.098;4.366
;; LUIS VARGAS TORRES;199;153;352
;; MALDONADO;948;913;1.861
;; PAMPANAL DE BOLIVAR;597;521;1.118
;; SAN FRANCISCO DE ONZOLE;768;662;1.430
;; SAN JOSE DE CAYAPAS;785;728;1.513
;; SANTO DOMINGO DE ONZOLE;1.055;879;1.934
;; SELVA ALEGRE;597;569;1.166
;; TELEMBI;2.944;2.695;5.639
;; TIMBIRE;552;485;1.037
;; VALDEZ (LIMONES);3.503;2.723;6.226
;; Total;21.048;18.691;39.739
;ESMERALDAS                    ; CAMARONES;1.474;1.343;2.817
;; CHINCA;2.369;2.183;4.552
;; CRNEL. CARLOS CONCHA TORRES;1.308;1.046;2.354
;; ESMERALDAS;77.505;84.363;161.868
;; MAJUA;1.373;1.161;2.534
;; SAN MATEO;3.153;2.586;5.739
;; TABIAZO;1.384;1.276;2.660
;; TACHINA;2.014;1.969;3.983
;; VUELTA LARGA;1.496;1.501;2.997
;; Total;92.076;97.428;189.504
;LA CONCORDIA                  ; LA CONCORDIA;21.748;21.176;42.924
;; Total;21.748;21.176;42.924
;MUISNE                        ; BOLIVAR;576;463;1.039
;; DAULE;1.209;944;2.153
;; GALERA;970;763;1.733
;; MUISNE;4.563;4.317;8.880
;; QUINGUE (OLMEDO PERDOMO;307;267;574
;; SALIMA;599;518;1.117
;; SAN FRANCISCO;1.523;1.286;2.809
