"Provincia","Canton"," Parroquia","Hombre","Mujer","Total"
"Guayas",""," JUAN BAUTISTA AGUIRRE","2825","2677","5502"
"Guayas",""," LAUREL","5093","4789","9882"
"Guayas",""," LIMONAL","4497","4277","8774"
"Guayas",""," LOS LOJAS","4408","4252","8660"
"Guayas",""," Total","60195","60131","120326"
"Guayas","DURAN                         "," ELOY ALFARO (DURAN)","116401","119368","235769"
"Guayas",""," Total","116401","119368","235769"
"Guayas","EL EMPALME                    "," EL ROSARIO","4730","4475","9205"
"Guayas",""," GUAYAS (PUEBLO NUEVO)","9313","8266","17579"
"Guayas",""," VELASCO IBARRA","23981","23686","47667"
"Guayas",""," Total","38024","36427","74451"
