"Provincia","Nombre del Cantón","Nombre de la Parroquia","Hombre","Mujer","Total"
"","CHILLA                        "," CHILLA","1274","1210","2484"
"",""," Total","1274","1210","2484"
"","EL GUABO                      "," BARBONES (SUCRE)","3054","2653","5707"
"",""," EL GUABO","15580","14400","29980"
"",""," LA IBERIA","1883","1826","3709"
"",""," RIO BONITO","2953","2523","5476"
"",""," TENDALES","2916","2221","5137"
"",""," Total","26386","23623","50009"
"","HUAQUILLAS                    "," HUAQUILLAS","24120","24165","48285"
"",""," Total","24120","24165","48285"
"","LAS LAJAS                     "," EL PARAISO","399","362","761"
"",""," LA LIBERTAD","421","381","802"
"",""," LA VICTORIA","1360","1272","2632"
"",""," SAN ISIDRO","309","290","599"
"",""," Total","2489","2305","4794"
"","MACHALA                       "," EL RETIRO","2381","1985","4366"
"",""," MACHALA","120643","120963","241606"
"",""," Total","123024","122948","245972"
"","MARCABELI                     "," EL INGENIO","145","107","252"
"",""," MARCABELI","2636","2562","5198"
"",""," Total","2781","2669","5450"
"","PASAJE                        "," BUENAVISTA","3447","3094","6541"
"",""," CAÑA QUEMADA","972","867","1839"
"",""," CASACAY","1260","1197","2457"
"",""," LA PEAÑA","1825","1776","3601"
"",""," PASAJE","26743","26742","53485"
"",""," PROGRESO","2079","1888","3967"
"",""," UZHCURRUMI","466","450","916"
"",""," Total","36792","36014","72806"
"","PIÑAS                         "," CAPIRO","980","890","1870"
"",""," LA BOCANA","728","637","1365"
"",""," MOROMORO","742","629","1371"
"",""," PIEDRAS","294","275","569"
"",""," PIÑAS","8572","8829","17401"
"",""," SAN ROQUE","463","404","867"
"",""," SARACAY","1366","1179","2545"
"",""," Total","13145","12843","25988"
"","PORTOVELO                     "," CURTINCAPA","277","233","510"
"",""," MORALES","337","330","667"
"",""," PORTOVELO","5176","4820","9996"
"",""," SALATI","535","492","1027"
"",""," Total","6325","5875","12200"
"","SANTA ROSA                    "," BELLAMARIA","1281","1041","2322"
"",""," BELLAVISTA","1421","1414","2835"
"",""," JAMBELI","1084","634","1718"
"",""," LA AVANZADA","1126","942","2068"
"",""," SAN ANTONIO","1089","1001","2090"
"",""," SANTA ROSA","26455","26408","52863"
"",""," TORATA","1038","915","1953"
"",""," VICTORIA","1733","1454","3187"
"",""," Total","35227","33809","69036"
"","ZARUMA                        "," ABAÑIN","842","842","1684"
"",""," ARCAPAMBA","534","461","995"
"",""," GUANAZAN","1478","1567","3045"
"",""," GUIZHAGUIÑA","890","814","1704"
"",""," HUERTAS","1058","938","1996"
"",""," MALVAS","640","545","1185"
"",""," MULUNCAY GRANDE","509","336","845"
"",""," SALVIAS","394","354","748"
"",""," SINSAO","685","651","1336"
"",""," ZARUMA","5253","5306","10559"
"",""," Total","12283","11814","24097"
"","Total","","304362","296297","600659"
"Esmeraldas","ATACAMES                      "," ATACAMES","8525","8330","16855"
"",""," LA UNION","1304","1236","2540"
"",""," SUA","1781","1668","3449"
"",""," TONCHIGUE","4151","3850","8001"
"",""," TONSUPA","5470","5211","10681"
"",""," Total","21231","20295","41526"
"","ELOY ALFARO                   "," ANCHAYACU","1432","1105","2537"
"",""," ATAHUALPA","733","721","1454"
"",""," BORBON","3931","3765","7696"
"",""," COLON ELOY DEL MARIA","736","674","1410"
"",""," LA TOLA","2268","2098","4366"
"",""," LUIS VARGAS TORRES","199","153","352"
"",""," MALDONADO","948","913","1861"
"",""," PAMPANAL DE BOLIVAR","597","521","1118"
"",""," SAN FRANCISCO DE ONZOLE","768","662","1430"
"",""," SAN JOSE DE CAYAPAS","785","728","1513"
"",""," SANTO DOMINGO DE ONZOLE","1055","879","1934"
"",""," SELVA ALEGRE","597","569","1166"
"",""," TELEMBI","2944","2695","5639"
"",""," TIMBIRE","552","485","1037"
"",""," VALDEZ (LIMONES)","3503","2723","6226"
"",""," Total","21048","18691","39739"
"","ESMERALDAS                    "," CAMARONES","1474","1343","2817"
"",""," CHINCA","2369","2183","4552"
"",""," CRNEL. CARLOS CONCHA TORRES","1308","1046","2354"
"",""," ESMERALDAS","77505","84363","161868"
"",""," MAJUA","1373","1161","2534"
"",""," SAN MATEO","3153","2586","5739"
"",""," TABIAZO","1384","1276","2660"
"",""," TACHINA","2014","1969","3983"
"",""," VUELTA LARGA","1496","1501","2997"
"",""," Total","92076","97428","189504"
"","LA CONCORDIA                  "," LA CONCORDIA","21748","21176","42924"
"",""," Total","21748","21176","42924"
"","MUISNE                        "," BOLIVAR","576","463","1039"
"",""," DAULE","1209","944","2153"
"",""," GALERA","970","763","1733"
"",""," MUISNE","4563","4317","8880"
"",""," QUINGUE (OLMEDO PERDOMO","307","267","574"
"",""," SALIMA","599","518","1117"
"",""," SAN FRANCISCO","1523","1286","2809"
"",""," SAN GREGORIO","3207","2708","5915"
"",""," SAN JOSE DE CHAMANGA","2390","1864","4254"
"",""," Total","15344","13130","28474"
"","QUININDE                      "," CHURA (CHANCAMA)","2617","2116","4733"
"",""," CUBE","4108","3482","7590"
"",""," LA UNION","10314","9610","19924"
"",""," MALIMPIA","9621","8151","17772"
"",""," ROSA ZARATE (QUININDE)","34758","32501","67259"
"",""," VICHE","2723","2569","5292"
"",""," Total","64141","58429","122570"
"","RIOVERDE                      "," CHONTADURO","1743","1479","3222"
"",""," CHUMUNDE","1905","1607","3512"
"",""," LAGARTO","3049","2625","5674"
"",""," MONTALVO","2106","1903","4009"
"",""," RIOVERDE","2564","2400","4964"
"",""," ROCAFUERTE","2805","2683","5488"
"",""," Total","14172","12697","26869"
"","SAN LORENZO                   "," 5 DE JUNIO","219","197","416"
"",""," ALTO TAMBO","1001","870","1871"
"",""," ANCON (PICHANGAL)","901","913","1814"
"",""," CALDERON","330","298","628"
"",""," CARONDELET","898","832","1730"
"",""," CONCEPCION","1244","1110","2354"
"",""," MATAJE","786","689","1475"
"",""," SAN JAVIER DE CACHAVI","343","321","664"
"",""," SAN LORENZO","12462","12634","25096"
"",""," SANTA RITA","837","802","1639"
"",""," TAMBILLO","926","817","1743"
"",""," TULULBI","1181","1114","2295"
"",""," URBINA","424","337","761"
"",""," Total","21552","20934","42486"
"","Total","","271312","262780","534092"
"Guayas","ALFREDO BAQUERIZO MORENO      "," ALFREDO BAQUERIZO MORENO","13013","12166","25179"
"",""," Total","13013","12166","25179"
"","BALAO                         "," BALAO","10998","9525","20523"
"",""," Total","10998","9525","20523"
"","BALZAR                        "," BALZAR","28001","25936","53937"
"",""," Total","28001","25936","53937"
"","COLIMES                       "," COLIMES","9147","8160","17307"
"",""," SAN JACINTO","3276","2840","6116"
"",""," Total","12423","11000","23423"
"","CORONEL MARCELINO MARIDUEÑA   "," CORONEL MARCELINO MARIDUEÑA","6265","5768","12033"
"",""," Total","6265","5768","12033"
"","DAULE                         "," DAULE","43372","44136","87508"
"",""," JUAN BAUTISTA AGUIRRE","2825","2677","5502"
"",""," LAUREL","5093","4789","9882"
"",""," LIMONAL","4497","4277","8774"
"",""," LOS LOJAS","4408","4252","8660"
"",""," Total","60195","60131","120326"
"","DURAN                         "," ELOY ALFARO (DURAN)","116401","119368","235769"
"",""," Total","116401","119368","235769"
"","EL EMPALME                    "," EL ROSARIO","4730","4475","9205"
"",""," GUAYAS (PUEBLO NUEVO)","9313","8266","17579"
"",""," VELASCO IBARRA","23981","23686","47667"
"",""," Total","38024","36427","74451"
"","EL TRIUNFO                    "," EL TRIUNFO","22824","21954","44778"
"",""," Total","22824","21954","44778"
"","GENERAL ANTONIO ELIZALDE      "," GENERAL ANTONIO ELIZALDE","5369","5273","10642"
"",""," Total","5369","5273","10642"
"","GUAYAQUIL                     "," GUAYAQUIL","1127137","1164021","2291158"
"",""," JUAN GOMEZ RENDON (PROGR","6134","5763","11897"
"",""," MORRO","2701","2318","5019"
"",""," POSORJA","12269","11867","24136"
"",""," PUNA","3640","3129","6769"
"",""," TENGUEL","6340","5596","11936"
"",""," Total","1158221","1192694","2350915"
"","ISIDRO AYORA                  "," ISIDRO AYORA","5585","5285","10870"
"",""," Total","5585","5285","10870"
"","LOMAS DE SARGENTILLO          "," LOMAS DE SARGENTILLO","9466","8947","18413"
"",""," Total","9466","8947","18413"
"","MILAGRO                       "," CHOBO","2772","2649","5421"
"",""," MARISCAL SUCRE (HUAQUES)","2827","2538","5365"
"",""," MILAGRO","72031","72994","145025"
"",""," ROBERTO ASTUDILLO","5611","5212","10823"
"",""," Total","83241","83393","166634"
"","NARANJAL                      "," JESUS MARIA","3486","2941","6427"
"",""," NARANJAL","20721","19118","39839"
"",""," SAN CARLOS","3530","2986","6516"
"",""," SANTA ROSA DE FLANDES","2917","2527","5444"
"",""," TAURA","5971","4815","10786"
"",""," Total","36625","32387","69012"
"","NARANJITO                     "," NARANJITO","19063","18123","37186"
"",""," Total","19063","18123","37186"
"","NOBOL                         "," NARCISA DE JESUS","9856","9744","19600"
"",""," Total","9856","9744","19600"
"","PALESTINA                     "," PALESTINA","8354","7711","16065"
"",""," Total","8354","7711","16065"
"","PEDRO CARBO                   "," PEDRO CARBO","16216","15101","31317"
"",""," SABANILLA","3635","3254","6889"
"",""," VALLE DE LA VIRGEN","2757","2473","5230"
"",""," Total","22608","20828","43436"
"","PLAYAS                        "," GENERAL VILLAMIL","21242","20693","41935"
"",""," Total","21242","20693","41935"
"","SAMBORONDON                   "," SAMBORONDON","25249","26385","51634"
"",""," TARIFA","8253","7703","15956"
"",""," Total","33502","34088","67590"
"","SANTA LUCIA                   "," SANTA LUCIA","20276","18647","38923"
"",""," Total","20276","18647","38923"
"","SIMON BOLIVAR                 "," CRNEL.LORENZO DE GARAICOA","5729","5169","10898"
"",""," SIMON BOLIVAR","7541","7044","14585"
"",""," Total","13270","12213","25483"
"","URBINA JADO                   "," EL SALITRE (LAS RAMAS)","14399","13718","28117"
"",""," GENERAL VERNAZA","5039","4472","9511"
"",""," JUNQUILLAL","6984","6320","13304"
"",""," LA VICTORIA (ÑAUZA)","3406","3064","6470"
"",""," Total","29828","27574","57402"
"","YAGUACHI                      "," GRAL. PEDRO J. MONTERO","4332","3863","8195"
"",""," VIRGEN DE FATIMA","7289","6900","14189"
"",""," YAGUACHI NUEVO","13429","13188","26617"
"",""," YAGUACHI VIEJO (CONE)","6214","5743","11957"
"",""," Total","31264","29694","60958"
"","Total","","1815914","1829569","3645483"
"Imbabura","ANTONIO ANTE                  "," ATUNTAQUI","11208","12091","23299"
"",""," IMBAYA","652","627","1279"
"",""," SAN FRANCISCO DE NATABUE","2719","2932","5651"
"",""," SAN JOSE DE CHALTURA","1503","1644","3147"
"",""," SAN ROQUE","4987","5155","10142"
"",""," Total","21069","22449","43518"
"","COTACACHI                     "," 6 DE JULIO DE CUELLAJE","936","844","1780"
"",""," APUELA","942","882","1824"
"",""," COTACACHI","8398","8741","17139"
"",""," GARCIA MORENO","2675","2385","5060"
"",""," IMANTAG","2424","2517","4941"
"",""," PEÑAHERRERA","850","794","1644"
"",""," PLAZA GUTIERREZ","260","236","496"
"",""," QUIROGA","3210","3244","6454"
"",""," VACAS GALINDO (EL CHURO)","395","303","698"
"",""," Total","20090","19946","40036"
"","IBARRA                        "," AMBUQUI","2707","2770","5477"
"",""," ANGOCHAGUA","1510","1753","3263"
"",""," CAROLINA","1448","1291","2739"
"",""," IBARRA","67165","72556","139721"
"",""," LA ESPERANZA","3686","3677","7363"
"",""," LITA","1788","1561","3349"
"",""," SALINAS","887","854","1741"
"",""," SAN ANTONIO","8595","8927","17522"
"",""," Total","87786","93389","181175"
"","OTAVALO                       "," DR. MIGUEL EGAS CABEZAS","2344","2539","4883"
"",""," EUGENIO ESPEJO (CALPAQUI)","3499","3858","7357"
"",""," GONZALEZ SUAREZ","2753","2877","5630"
"",""," OTAVALO","25274","27479","52753"
"",""," PATAQUI","128","141","269"
"",""," SAN JOSE DE QUICHINCHE","4142","4334","8476"
"",""," SAN JUAN DE ILUMAN","4186","4398","8584"
"",""," SAN PABLO","4701","5200","9901"
"",""," SAN RAFAEL","2561","2860","5421"
"",""," SELVA ALEGRE","858","742","1600"
"",""," Total","50446","54428","104874"
"","PIMAMPIRO                     "," CHUGA","577","503","1080"
